Modul,Epic,Jenis,User Story,Divisi,Programmer,Status,Note
Projek,Dokumentasi,Docs,Memperluas AGENTS.md dengan panduan proyek komprehensif (struktur folder + aturan koding),Frontend,Fadlan,Done,-
Halaman,Teacher CRUD,Add,"Integrasi akhir UUID-fix dan Teacher Power CRUD (edit/hapus materi, nilai tugas, edit pengumuman)",Frontend,Fadlan,Done,-
Halaman,Login,Fix,Perbaikan URL login CSRF dan penyelarasan response key dari backend,Frontend,Fadlan,Done,-
Halaman,Login,Add,Implementasi halaman login dengan autentikasi Bearer token,Frontend,Fadlan,Done,-
Projek,Konfigurasi,Chore,Penambahan .env.example dan pembaruan konfigurasi .gitignore,Frontend,Obyyif,Done,-
Projek,Dokumentasi,Docs,Penambahan pelacakan riwayat commit per anggota tim,Frontend,Obyyif,Done,-
Halaman,Classroom & Tugas,Add,"Implementasi halaman detail kelas, tugas, detail tugas, dan materi pembelajaran",Frontend,Obyyif,Done,-
Halaman,Materi,Add,Implementasi galeri file bergaya Google Drive pada halaman materi,Frontend,Obyyif,Done,-
Halaman,Notifikasi & Profil,Add,"Implementasi sistem notifikasi, dropdown profil, dan navigasi grup materi",Frontend,Obyyif,Done,-
Halaman,Jadwal & Kehadiran,Fix,Perbaikan tampilan ruangan di jadwal dan pemetaan status kehadiran,Frontend,Obyyif,Done,-
Halaman,Dashboard,Fix,Pelebaran area konten dashboard dari max-w-6xl menjadi max-w-7xl,Frontend,Obyyif,Done,-
Halaman,UI Detail,Fix,Pembaruan detail tampilan antarmuka dashboard,Frontend,Obyyif,Done,-
Halaman,Materi,Refactor,"Refactoring navigasi materi 2-level dengan placeholder emoji dan sistem Portal",Frontend,Obyyif,Done,-
Halaman,Sidebar,Refactor,Refactoring sidebar collapsible dan layout konten fluid,Frontend,Obyyif,Done,-
Halaman,Materi,Add,Implementasi manajer materi bergaya Google Drive dengan pengelompokan file otomatis,Frontend,Maulud,Done,-
Halaman,Tugas,Add,Penulisan ulang halaman Tugas dengan integrasi API penuh (submit + status),Frontend,Maulud,Done,-
Halaman,Detail Materi,Add,"Implementasi viewer materi lengkap dengan pratinjau berbasis kategori (PDF, video, gambar)",Frontend,Maulud,Done,-
Halaman,Detail Materi,Fix,Perbaikan pemutar video dengan rasio aspek 16:9 dan deteksi video rusak,Frontend,Maulud,Done,-
Projek,Inisialisasi,Add,Inisialisasi proyek dari Create Next App (setup awal),Frontend,Maulud,Done,-
Halaman,Dashboard & Profil,Add,Penambahan detail konten pada halaman dashboard dan profil,Frontend,Maulud,Done,-
Projek,Merge,Fix,Penggabungan Pull Request #1 dari branch nino ke main,Frontend,Maulud,Done,-
API,Autentikasi,Add,"Penguatan keamanan autentikasi — sessionStorage, secure cookies, error handling",Frontend,Maulud,Done,-
